NU_ANO;TP_INSCRICAO;CO_CURSO;CO_IES;CO_CATEGAD;CO_ORGACAD;CO_GRUPO;CO_MUNIC_CURSO;CO_UF_CURSO;CO_REGIAO_CURSO
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;389;4;1;10028;12;1302603;13;1
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;484;5;1;10028;12;2211001;22;2
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
2025;1;758;9;2;10028;12;4113700;41;4
